Item Name,Price,Quantity,Date
HARMONIE PADS,1.99,1,11.07.2024
SOJAGHURT NATUR,0.89,4,13.07.2024
OLIV.GRUEN O.ST.,1.79,1,13.07.2024
KOKOSMILCH,1.49,2,13.07.2024
GERAMONT CLASSIC,1.99,1,15.07.2024
BIO HIRTENKAESE,1.99,2,15.07.2024
TOMATE RISPE,1.49,1,15.07.2024
GURKE BW,1.19,1,15.07.2024
PAPRIKA MIX ESP,1.99,1,15.07.2024
SOJAGHURT NATUR,0.95,3,15.07.2024
OFENFRISCH.PIZZA,2.22,1,15.07.2024
OLIV.GRUEN O.ST.,1.79,1,15.07.2024
Rewe Regional 5%,-0.06,1,15.07.2024
HAFERFLOCK. ZART,1.69,1,16.07.2024
SULTANINEN,1.19,2,16.07.2024
KAKAO,1.99,1,16.07.2024
COCA COLA ZERO,1.11,1,16.07.2024
"PFAND 0,25 EURO",0.25,1,16.07.2024
VEGANE SCHNITZEL,3.39,1,18.07.2024
VEG.BURG.PATT.,1.99,1,18.07.2024
COCA COLA ZERO,1.11,1,18.07.2024
"PFAND 0,25 EURO",0.25,1,18.07.2024
GERAMONT CLASSIC,1.99,1,18.07.2024
"BIO FR.MILCH 3,8",1.25,1,18.07.2024
SOJAGHURT NATUR,0.95,4,18.07.2024
JUNGER SPINAT,2.69,1,18.07.2024
PFEFFERK. SCHW.,3.49,1,18.07.2024
ZIMT GEMAHLEN,3.69,1,18.07.2024
"BIO FR.MILCH 3,8",1.25,1,20.07.2024
Versch.Sorten,2.19,1,20.07.2024
COCA COLA,1.35,1,20.07.2024
"PFAND 0,25 EURO",0.25,1,20.07.2024
EPIC FRESH,3.99,1,20.07.2024
SOJAGHURT NATUR,0.95,4,22.07.2024
SULTANINEN,1.19,2,22.07.2024
HERINGSFILETS,1.99,1,22.07.2024
NATURALS ROSMARI,1.49,1,22.07.2024
ZWIEBELN BIO,2.49,1,23.07.2024
KNOBLAUCH BIO,1.09,1,23.07.2024
SOJAGHURT NATUR,0.95,4,23.07.2024
GEMUESEBRUEHE,2.79,1,23.07.2024
ORO TOMATENMARK,0.99,1,23.07.2024
OM3 MINZFRISCH,1.59,1,23.07.2024
TEMPO TASCHENT.,1.89,1,23.07.2024
HAEHNCHENPFANNE,3.69,1,24.07.2024
KAKAO,1.99,1,24.07.2024
RAPSKERNOEL,1.65,1,24.07.2024
TOFFIFEE 15ER,1.49,1,24.07.2024
GEMUESEPF. MEDIT,1.99,1,25.07.2024
TOMATENKETCHUP,1.89,1,25.07.2024
NATURALS ROSMARI,1.49,1,25.07.2024
COCA COLA,1.35,1,25.07.2024
"PFAND 0,25 EURO",0.25,1,25.07.2024
BIO HIRTENKAESE,1.99,2,26.07.2024
TOMATE RISPE,2.29,1,26.07.2024
GURKE BW,1.19,1,26.07.2024
PAPRIKA MIX ESP,1.99,1,26.07.2024
SOJAGHURT NATUR,0.95,4,26.07.2024
SULTANINEN,1.19,2,26.07.2024
COCA COLA,1.35,1,26.07.2024
"PFAND 0,25 EURO",0.25,1,26.07.2024
Rewe Regional 5%,-0.06,1,26.07.2024
SOJAGHURT NATUR,0.95,3,27.07.2024
OLIV.GRUEN O.ST.,1.79,1,27.07.2024
HERINGSFILETS,1.99,1,27.07.2024
SOJAGHURT NATUR,0.95,4,29.07.2024
HERINGSFILETS,1.99,2,29.07.2024
"Heringsfilet 1,29",-1.4,1,29.07.2024
GERAMONT CLASSIC,2.99,1,02.08.2024
"BIO FR.MILCH 3,8",1.25,1,02.08.2024
SOJAGHURT NATUR,0.95,4,02.08.2024
SULTANINEN,1.19,2,02.08.2024
KAKAO,1.99,1,02.08.2024
HUEHNERNUDELTOPF,3.39,1,02.08.2024
SOJAGHURT NATUR,0.95,2,03.08.2024
BIO KESSELCHIPS,1.99,1,03.08.2024
SCHOKOLADE 85%,1.39,1,03.08.2024
CAPPELLETTI SPIN,1.89,1,03.08.2024
BIO TOMATENS.KRA,1.89,2,03.08.2024
STUECKIGE TOMATE,1.19,1,03.08.2024
COCA COLA,1.35,1,03.08.2024
